챔피언,플레이수,평점,승률,게임당 픽률,게임당 밴률,CS,골드
나미,"374,262",3.11:1,50.40%,7.99%,1.65%,11.95,"7,792"
피들스틱,"353,351",2.73:1,52.36%,7.64%,4.25%,130.81,"10,494"
카밀,"342,762",1.93:1,49.35%,7.33%,2.12%,153.93,"10,564"
그라가스,"339,976",2.4:1,49.07%,7.08%,1.22%,142.04,"10,108"
아펠리오스,"335,926",2.02:1,46.21%,7%,0.71%,186.29,"11,488"
일라오이,"331,124",1.39:1,50.91%,8.24%,9.42%,195.59,"11,592"
브랜드,"324,648",1.91:1,51.67%,7.43%,1.51%,81.71,"9,890"
하이머딩거,"321,109",1.8:1,52.78%,7.34%,3.26%,125.53,"10,330"
볼리베어,"317,850",2.27:1,51.22%,7.72%,3.36%,145.65,"10,078"
쉔,"317,354",3.07:1,51.45%,6.30%,0.66%,128.3,"9,284"
마오카이,"313,846",2.3:1,51.21%,5.75%,0.88%,81.94,"8,485"
헤카림,"312,585",2.86:1,47.97%,6.36%,2.90%,159.86,"11,447"
럼블,"312,394",2.32:1,49.41%,6.39%,1.63%,161.04,"10,673"
녹턴,"309,804",2.62:1,50.51%,7.06%,3.77%,159.56,"11,618"
알리스타,"308,310",2.47:1,49.96%,6.36%,1.87%,32.3,"7,242"
갈리오,"294,838",2.49:1,49.75%,6.61%,1.05%,128.25,"9,279"
자르반 4세,"293,356",3.12:1,49.83%,6%,0.27%,130.8,"10,742"
나서스,"285,423",1.85:1,49.22%,6.61%,1.89%,172.75,"10,892"
드레이븐,"284,473",2.11:1,49%,5.64%,4.32%,183.38,"12,952"
소라카,"281,137",2.71:1,49.98%,6.15%,0.43%,18.92,"7,243"
벨베스,"279,100",2.36:1,52.04%,6.64%,12.96%,162.42,"11,688"
탈리야,"278,391",2.41:1,49.18%,6.05%,3.39%,163.21,"11,409"
제이스,"276,241",1.75:1,48.51%,5.47%,1.37%,187.86,"11,549"
누누와 윌럼프,"270,640",2.65:1,47.22%,5.35%,1.71%,127.65,"10,046"
블라디미르,"269,969",2.24:1,50.11%,5.84%,1.63%,179.21,"10,958"
나르,"262,357",1.86:1,48.50%,5.09%,2.25%,170.88,"10,708"
람머스,"254,853",2.97:1,50.93%,6.82%,10.65%,127.34,"10,124"
베이가,"254,763",2.18:1,50%,5.57%,0.85%,144.48,"10,754"
신 짜오,"252,778",2.17:1,48.81%,5.18%,1.12%,147.68,"11,025"
카직스,"251,668",2.6:1,50.83%,4.78%,0.48%,152.32,"12,289"
자이라,"241,045",2.12:1,52.57%,4.65%,0.81%,49.98,"8,939"
닐라,"237,564",2.18:1,50.73%,5.67%,18.07%,185.56,"11,961"
세라핀,"236,341",2.51:1,49.30%,5.58%,0.57%,48.94,"8,317"
조이,"234,040",2.41:1,49.02%,4.52%,1.52%,141.75,"10,499"
리븐,"230,248",1.88:1,48.76%,4.48%,0.51%,173.45,"11,034"
트위스티드 페이트,"229,807",2.15:1,47.15%,4.48%,0.43%,154.14,"10,914"
요릭,"225,927",1.69:1,51.98%,4.97%,1.71%,195.25,"11,618"
애니비아,"224,406",2.56:1,50.50%,4.12%,2.33%,153.72,"10,570"
그웬,"222,628",1.65:1,46.83%,4.78%,4%,178.66,"11,093"
라이즈,"221,382",1.93:1,45.20%,4.51%,0.60%,189.91,"10,917"
카서스,"218,275",2.43:1,50.70%,4.57%,1.70%,185.88,"12,707"
렉사이,"212,911",2.73:1,51.09%,4.40%,13.65%,139.07,"11,337"
문도 박사,"205,212",2.24:1,51.22%,4.37%,0.99%,169.77,"10,680"
케일,"203,248",1.79:1,51.10%,4.26%,1.14%,203.92,"11,768"
아크샨,"201,562",2.15:1,50.60%,3.93%,2.46%,169.76,"11,884"
질리언,"200,598",3.2:1,52.52%,3.83%,0.63%,50.13,"8,087"
카시오페아,"197,537",2:01,51.06%,3.82%,1.34%,183.38,"11,284"
신지드,"194,414",2.26:1,51.67%,3.83%,0.83%,154.67,"10,022"
리산드라,"193,618",2.31:1,49.22%,3.74%,0.79%,167.97,"10,392"
케넨,"187,246",2.06:1,49.59%,3.64%,1.21%,158.33,"10,677"
말자하,"186,093",2.21:1,51.19%,3.70%,1.30%,190.08,"11,206"
피즈,"185,996",2.38:1,49.33%,3.94%,2.41%,154.15,"11,290"
트린다미어,"183,905",1.81:1,48.99%,4.15%,2.51%,190.97,"11,909"
카사딘,"182,069",2.39:1,48.59%,3.41%,1.01%,168.41,"10,997"
레나타 글라스크,"181,205",2.52:1,49.89%,3.60%,3.89%,21.95,"7,543"
올라프,"180,324",1.79:1,50.89%,3.62%,3.72%,167.86,"11,413"
벨코즈,"177,954",2.28:1,51.58%,3.26%,0.29%,72.58,"9,392"
신드라,"174,295",2.15:1,48.07%,3.27%,0.75%,153.22,"10,529"
렝가,"174,072",2.08:1,49.33%,3.54%,1.38%,152.1,"11,501"
탐 켄치,"171,463",2.47:1,49.84%,3.35%,1.35%,111.52,"9,228"
자야,"169,103",2.45:1,48.27%,3.29%,0.34%,193.87,"11,776"
니코,"162,380",2.18:1,50.97%,3.20%,0.63%,113.77,"9,822"
라칸,"155,277",2.71:1,49.50%,2.78%,0.47%,34.52,"7,285"
이블린,"153,391",3.04:1,50.15%,3.10%,1.43%,136.18,"11,467"
